year,country1,country2,n_speeches,freq1,freq2,score
2002,EGY,JPN,15,32,30,30.799999999999997
2015,LBN,YEM,10,33,32,30.74220779220779
2019,COD,COG,9,22,60,30.69727494727494
2012,EGY,ISR,11,24,52,30.645454545454545
2010,LBN,PSE,13,33,35,30.644444444444446
2006,ISR,USA,9,67,30,30.544588744588744
2010,BIH,SRB,6,71,25,30.51698872785829
2012,JOR,LBN,12,27,41,30.472727272727273
2013,MLI,SOM,10,41,27,30.458441558441557
2009,CAF,SDN,11,41,28,30.422222222222228
2008,BEL,FRA,15,31,30,30.4
2012,DEU,USA,15,30,31,30.4
2017,TUR,USA,12,26,40,30.390476190476193
2002,CAF,TCD,6,68,21,30.36465273856578
2008,IRQ,USA,10,67,26,30.338203463203463
2017,ISR,YEM,11,38,27,30.311904761904756
2017,CAF,COG,11,43,35,30.228571428571428
2002,IRQ,PSE,9,42,46,30.105396825396824
2002,ESP,JPN,15,30,30,30.0
2002,JPN,UKR,15,30,30,30.0
2002,JPN,PAK,15,30,30,30.0
2010,SOM,UGA,10,84,20,29.884471084471084
2002,EGY,ZAF,14,29,32,29.866666666666664
1999,COG,UGA,5,66,23,29.8151871657754
1995,BIH,MKD,9,39,26,29.742857142857144
2014,CAF,RWA,11,28,40,29.67301587301587
2018,DJI,SOM,10,24,54,29.606349206349204
2015,IRQ,TUR,11,32,31,29.606349206349204
2008,GEO,USA,5,68,21,29.47380952380952
2018,ISR,KWT,8,38,27,29.467599067599068
2011,FRA,PRT,14,29,30,29.4
2002,EGY,ISR,13,28,33,29.399999999999995
2018,AFG,IRQ,8,68,24,29.27012263099219
2018,IRQ,ISR,11,39,35,29.19561403508772
2014,EGY,ISR,11,22,68,29.122751322751323
2014,CAF,SDN,11,42,25,29.079853479853476
2001,NAM,RWA,11,31,33,29.066666666666663
2006,AFG,PAK,4,78,18,29.04897025171625
2006,IRN,ISR,9,23,43,28.94805194805195
2014,MLI,SOM,11,33,28,28.723809523809525
2015,COG,UGA,5,92,18,28.639978539978543
2016,IRQ,PSE,11,32,32,28.514285714285712
2017,SWE,USA,13,29,28,28.4
2019,IRN,ISR,9,30,32,28.356349206349204
2011,ISR,USA,9,70,20,28.342295131768815
1996,EGY,SDN,9,20,81,28.31111111111111
2001,ERI,ETH,10,29,28,28.228571428571424
2010,IRQ,KWT,6,98,17,28.128408913822657
2001,COG,ZAF,7,111,20,28.11658817373103
2002,ISR,ZAF,11,41,26,28.07536231884058
2016,LBN,PSE,9,25,35,28.0515873015873
2014,CAF,NGA,9,51,22,28.000505050505048
2002,CAN,JPN,14,28,28,28.0
2006,FRA,USA,14,28,28,28.0
2013,AUS,USA,14,28,28,28.0
2002,BDI,CAF,8,17,85,27.840492840492843
1997,GIN,SLE,3,19,53,27.72752525252525
2011,COL,HTI,8,18,78,27.70562770562771
2016,CAF,MLI,11,30,28,27.666666666666664
2015,IRN,LBN,8,54,24,27.597619047619045
2002,BDI,RWA,8,29,27,27.495238095238093
2001,ISR,USA,8,42,23,27.438383838383835
2014,COD,COG,4,19,52,27.433947772657447
2017,FRA,SWE,13,27,28,27.4
2016,IRN,LBN,6,25,32,27.276862026862027
2012,KEN,SOM,6,17,75,27.2473604826546
2002,EGY,TUN,13,27,28,27.2
1998,LBR,SLE,7,18,70,27.173737373737374
2019,IRQ,YEM,10,28,32,27.072727272727274
2002,IRQ,USA,7,141,20,27.030895420369102
1998,DEU,ITA,10,30,25,27.028571428571425
2015,ESP,FRA,13,27,27,27.0
2016,JPN,USA,13,27,27,27.0
2014,IRQ,UKR,10,25,32,26.933333333333334
2019,DEU,ISR,6,18,56,26.81919191919192
2012,LBN,TUR,11,31,25,26.8
2002,TUN,ZAF,12,26,28,26.628571428571426
2006,BDI,RWA,10,32,24,26.58095238095238
2014,CAF,SOM,10,32,26,26.495238095238097
2003,IRQ,SLE,8,35,24,26.49047619047619
2017,IRN,LBN,7,60,27,26.453302253302255
2002,EGY,PAK,13,27,26,26.4
2011,CAF,COG,8,34,52,26.365476190476183
1996,ETH,UGA,5,43,20,26.33214285714286
2002,EGY,PSE,9,19,45,26.247619047619047
2019,CAF,GNQ,9,43,23,26.206349206349202
2016,FRA,UKR,12,27,26,26.200000000000003
2012,SDN,SSD,8,55,22,26.134563021519543
2011,DJI,SOM,9,20,65,26.117948717948718
2017,LBN,PSE,10,29,26,26.095238095238095
1997,ALB,ITA,8,54,18,26.02242202242202
2014,AUS,USA,13,26,26,26.0
2012,FRA,PRT,13,26,26,26.0
2014,FRA,KOR,13,26,26,26.0
2013,LUX,USA,13,26,26,26.0
2002,IND,JPN,13,26,26,26.0
2013,AUS,LUX,13,26,26,26.0
2014,FRA,LTU,13,26,26,26.0
2014,LTU,USA,13,26,26,26.0
2013,IRN,LBN,8,51,24,25.92034632034632
2016,DEU,UKR,9,24,34,25.77857142857143
2012,ISR,JOR,9,69,18,25.76623376623377
2015,SAU,TUR,8,25,31,25.740909090909092
2017,PSE,USA,10,25,31,25.63809523809524
2014,COG,UGA,4,66,16,25.610298242111366
2002,JPN,ZAF,12,24,28,25.466666666666665
2018,CAF,CMR,9,38,24,25.435714285714283
2018,USA,YEM,9,36,25,25.41212121212121
2000,JPN,PRT,12,25,26,25.4
2017,SWE,UKR,12,26,25,25.4
2010,CAF,TCD,6,36,24,25.32857142857143
2017,FRA,MLI,10,24,32,25.301587301587297
2018,IRN,TUR,9,32,25,25.18461538461538
2002,PAK,ZAF,12,24,27,25.066666666666663
2018,BDI,COG,7,20,40,25.04285714285714
2005,SDN,ZWE,7,21,38,25.024509803921568
2002,AGO,SLE,11,22,30,24.933333333333337
2005,COG,RWA,5,33,22,24.898501498501496
2015,CAF,YEM,5,29,25,24.892857142857146
1997,DEU,ITA,10,28,23,24.866666666666667
2019,TUR,USA,8,25,34,24.840981240981243
2002,PAK,TUN,12,24,26,24.8
2014,AUS,LUX,12,25,25,24.799999999999997
2017,CAF,MLI,10,24,27,24.72380952380952
2002,CAN,IND,12,26,24,24.666666666666668
2002,BDI,ZAF,10,39,22,24.566666666666666
2005,CIV,ZAF,10,33,22,24.53939393939394
2017,JPN,USA,11,24,34,24.53333333333333
2000,COG,ZAF,6,66,16,24.40050505050505
2001,CAN,JPN,12,25,24,24.4
2014,LTU,LUX,12,24,25,24.4
2002,CUB,EGY,12,24,25,24.4
2013,AUS,FRA,12,24,25,24.4
2003,COG,LBR,8,27,23,24.339682539682542
2000,BIH,USA,6,43,21,24.300108225108225
2014,IRQ,LBY,8,25,27,24.27186147186147
2016,LBY,PSE,8,28,34,24.226900584795324
2018,AFG,PAK,5,92,14,24.178187134502924
2011,PRT,USA,11,24,25,24.15
2015,IRQ,JOR,10,30,22,24.057142857142857
2002,CHL,JPN,12,24,24,24.0
2001,JPN,NZL,12,24,24,24.0
2003,AUS,JPN,12,24,24,24.0
2009,FRA,USA,12,24,24,24.0
2002,PAK,TUR,12,24,24,24.0
2002,IND,PAK,12,24,24,24.0
2002,ESP,PAK,12,24,24,24.0
2002,IDN,JPN,12,24,24,24.0
2002,AUS,JPN,12,24,24,24.0
2001,EGY,JPN,12,24,24,24.0
2011,AFG,PAK,6,86,15,23.985622710622714
2003,AFG,SLE,8,25,25,23.98534798534799
2016,TUR,USA,9,21,45,23.940476190476193
2017,IRQ,YEM,8,21,30,23.9033189033189
2003,ISR,USA,9,36,26,23.82905982905983
2016,ESP,FRA,11,24,24,23.8
2012,LBN,PSE,9,23,31,23.79047619047619
2000,IDN,NZL,11,31,22,23.733333333333334
2019,DEU,USA,7,21,52,23.555244755244754
2013,COD,COG,6,15,58,23.551046176046174
2015,UKR,USA,7,32,23,23.503030303030304
2013,COG,RWA,7,26,24,23.485714285714288
2002,CUB,ZAF,11,22,26,23.466666666666665
2002,MYS,ZAF,11,22,26,23.466666666666665
2012,FRA,MAR,11,24,23,23.428571428571427
2012,ISR,LBY,8,28,28,23.42077922077922
2017,ITA,SWE,11,23,24,23.4
2000,AGO,BDI,8,26,24,23.35238095238095
1998,AFG,IRN,6,80,15,23.286367825722664
2013,AFG,PAK,7,83,14,23.276190476190475
2006,SDN,USA,8,43,17,23.273809523809522
2015,CAF,MLI,8,23,25,23.244444444444447
2000,RWA,SLE,6,40,20,23.184774436090226
2003,COG,RWA,8,59,16,23.15555555555555
1997,LBR,SLE,4,14,67,23.131410256410255
2016,ESH,MAR,5,29,20,23.114705882352943
2015,BDI,CAF,9,19,34,23.11111111111111
2015,GIN,LBR,9,22,26,23.057142857142857
2016,JPN,UKR,11,23,23,23.0
2000,JPN,NOR,11,23,23,23.0
2015,ESP,LTU,11,23,23,23.0
2002,PSE,TUN,8,33,18,22.97142857142857
2015,JOR,TUR,9,23,27,22.923809523809524
2013,IRN,MLI,8,21,28,22.902380952380952
2018,RUS,USA,9,22,26,22.857142857142854
2002,CUB,TUN,11,22,24,22.8
2002,IND,ZAF,11,22,24,22.799999999999997
2002,ISR,PAK,11,24,22,22.799999999999997
2001,COG,ZWE,8,58,17,22.76942355889724
2003,BDI,ZAF,7,42,18,22.755555555555553
2001,COD,COG,6,15,99,22.754683614258084
2018,LBY,YEM,8,22,25,22.73968253968254
2018,BDI,TZA,7,72,14,22.733391053391053
2008,CAF,SDN,8,22,35,22.685714285714287
2011,AFG,USA,5,88,13,22.549780701754386
2015,CAF,COG,8,39,20,22.495238095238093
2014,KOR,LUX,11,22,23,22.4
2001,CAN,SWE,11,23,22,22.4
2013,RWA,USA,11,23,22,22.4
2014,AUS,UKR,8,18,37,22.31111111111111
2003,FRA,IRQ,6,13,194,22.30658245863725
2002,CUB,PSE,8,16,41,22.20952380952381
2014,AFG,USA,7,72,14,22.163562753036437
2018,RUS,UKR,5,17,39,22.162837162837164
2014,LBN,USA,7,40,16,22.14098124098124
1999,BDI,COG,7,42,44,22.11020863194776
2018,NLD,USA,9,22,25,22.066666666666666
2014,GIN,MLI,6,24,23,22.03888888888889
2017,KOR,USA,6,17,34,22.017647058823528
2002,CAN,PAK,11,22,22,22.0
2015,LTU,USA,11,22,22,22.0
2001,AUS,JPN,11,22,22,22.0
2016,ESP,USA,10,22,22,22.0
2008,FRA,ITA,11,22,22,22.0
2013,FRA,LUX,11,22,22,22.0
2012,FRA,ZAF,11,22,22,22.0
2002,EGY,MYS,11,22,22,22.0
2002,EGY,ESP,11,22,22,22.0
2014,AUS,FRA,11,22,22,22.0
2008,FRA,HRV,11,22,22,22.0
2002,JPN,MYS,11,22,22,22.0
2001,JPN,SWE,11,22,22,22.0
2002,CUB,MYS,11,22,22,22.0
2018,KOR,USA,6,18,34,22.0
2012,DEU,PRT,11,22,22,22.0
2015,ESP,USA,11,22,22,22.0
2018,LBY,USA,6,16,40,21.996536796536795
2002,ETH,SLE,9,20,26,21.961904761904762
2003,BDI,CAF,6,18,50,21.92857142857143
2000,IRQ,KWT,6,146,14,21.800856865872344
2016,FRA,NZL,10,22,22,21.8
1999,BDI,TZA,7,42,18,21.764285714285712
2017,AFG,PAK,6,85,13,21.743003276215617
2017,IRQ,PSE,9,21,24,21.695238095238096
2018,NIC,USA,3,30,20,21.678571428571427
2012,JOR,TUR,10,23,21,21.666666666666664
1998,LBY,NLD,5,37,16,21.638528138528137
2002,ISR,TUN,10,22,22,21.6
2002,PAK,PSE,8,16,33,21.447619047619046
2011,DEU,PRT,10,21,22,21.4
2002,ESP,ISR,10,20,25,21.4
2015,FRA,JOR,10,21,22,21.4
1999,IDN,TLS,8,28,20,21.38809523809524
2010,CAF,COG,8,27,19,21.301587301587304
2012,GTM,HTI,6,13,66,21.27470960412137
2018,AFG,USA,6,83,13,21.257393483709272
2005,UGA,ZWE,5,16,38,21.166740380362672
2019,IRN,LBY,7,30,21,21.102869352869355
2018,IRQ,LBN,8,33,22,21.090058479532164
2007,COG,SDN,8,27,18,21.083333333333332
2015,FRA,LTU,10,21,21,21.0
2017,ITA,UKR,10,21,21,21.0
2016,FRA,JPN,10,21,21,21.0
2002,ISR,KWT,9,28,21,20.984615384615385
2016,AFG,USA,5,88,12,20.97738927738928
2015,IRN,IRQ,6,46,16,20.93181818181818
2019,LBN,YEM,6,37,17,20.922494172494172
2000,AGO,RWA,6,21,39,20.922410922410922
2000,COG,ZMB,5,42,16,20.895238095238096
2008,BDI,SLE,9,20,22,20.84444444444444
1999,DEU,ITA,7,25,19,20.82857142857143
2002,JPN,TUN,10,20,22,20.8
2017,IRQ,TUR,8,25,19,20.8
2001,JPN,MYS,10,20,22,20.8
2002,MYS,TUN,10,20,22,20.8
2003,ISR,LBN,6,66,14,20.76904761904762
2014,CAF,IRQ,9,22,21,20.73333333333333
2002,PSE,ZAF,7,29,17,20.71428571428571
2014,FRA,NGA,10,22,20,20.666666666666664
2015,LBR,SLE,8,22,23,20.65714285714286
