year,speaker_country,country1,country2,n_speeches,freq1,freq2,score
2014,BRA,ISR,LBN,4,15,20,16.244444444444444
2018,KAZ,ERI,SOM,3,12,26,16.211111111111112
2018,KAZ,ISR,PSE,6,23,13,16.20952380952381
2008,USA,DJI,ERI,3,14,21,16.209150326797385
2019,SYR,IRQ,USA,5,11,47,16.19925303454715
2019,MDV,ISR,PSE,3,18,16,16.17857142857143
2018,NLD,RUS,UKR,3,13,25,16.162837162837164
2000,COD,BDI,COG,4,10,52,16.133333333333333
2001,COD,RWA,UGA,4,19,15,16.073015873015876
2006,FIN,ISR,LBN,4,17,19,16.03333333333333
2002,MEX,ISR,PSE,4,26,12,16.003968253968253
2011,PRT,ISR,LBN,3,19,15,15.982905982905983
2015,COD,COG,RWA,2,30,11,15.973544973544975
2015,SYR,QAT,TUR,4,14,21,15.963924963924965
2004,AGO,BDI,COG,3,16,17,15.961497326203208
2008,SYR,ISR,USA,3,71,9,15.947550034506556
2000,GBR,COG,SLE,4,23,25,15.941666666666666
2006,USA,IRN,ISR,5,13,24,15.933333333333334
2013,IRN,ISR,LBN,4,48,10,15.93030303030303
2001,SWE,LBR,SLE,2,16,18,15.923076923076923
2010,LBN,BIH,SRB,2,16,16,15.881481481481481
2016,RUS,AFG,USA,4,71,9,15.877389277389279
2006,CHN,LBN,PSE,4,19,17,15.833699633699634
2017,VEN,ISR,PSE,4,39,10,15.833333333333332
2008,CHN,LBN,PSE,5,13,22,15.816666666666666
2001,SDN,COG,UGA,1,14,18,15.75
2008,FRA,CAF,TCD,3,14,20,15.747252747252748
2015,IDN,ISR,PSE,3,16,16,15.732323232323232
2011,USA,SDN,SSD,3,29,13,15.620320855614974
2017,SYR,TUR,USA,5,12,23,15.533333333333333
2017,SYR,FRA,USA,5,12,23,15.533333333333331
2013,FRA,CAF,COG,5,21,13,15.514285714285714
2011,IRQ,KWT,USA,3,21,14,15.45
2002,COD,COG,RWA,3,57,9,15.441176470588236
2015,IRN,LBN,PSE,4,12,23,15.363636363636363
2019,BGD,ISR,PSE,4,16,15,15.283116883116884
2001,GBR,LBR,SLE,4,11,26,15.266666666666666
2011,BRA,ISR,PSE,5,21,13,15.261111111111111
2017,USA,IRN,LBN,4,39,18,15.253302253302252
2009,MEX,ISR,LBN,3,26,11,15.243956043956043
2016,SYR,IRQ,USA,4,15,30,15.223593073593072
2001,MUS,GIN,SLE,3,12,44,15.212523719165086
2019,ISR,LBN,YEM,4,30,12,15.172494172494172
2001,MUS,LBR,SLE,3,10,47,15.138798701298702
2010,GAB,AFG,CAN,1,18,13,15.096774193548388
2000,AUS,IDN,TLS,3,16,16,15.092436974789916
2016,SYR,TUR,USA,5,13,34,15.083333333333334
