year,mentioned_country,n_meetings,n_speeches,n_mentions,n_speaker_countries,avg_speech_country,avg_speech_meeting,avg_mention_country,avg_mention_meeting,avg_mention_speech,mentioned_member
1995,MAR,10,16,22,7,2.2857142857142856,1.6,3.142857142857143,2.2,1.375,G
1995,MDA,2,2,2,2,1.0,1.0,1.0,1.0,1.0,G
1995,MDG,1,1,1,1,1.0,1.0,1.0,1.0,1.0,G
1995,MEX,1,3,5,3,1.0,3.0,1.6666666666666667,5.0,1.6666666666666667,G
1995,MKD,9,28,48,17,1.6470588235294117,3.111111111111111,2.823529411764706,5.333333333333333,1.7142857142857142,G
1995,MLI,1,1,1,1,1.0,1.0,1.0,1.0,1.0,G
1995,MLT,2,2,2,1,2.0,1.0,2.0,1.0,1.0,G
1995,MNE,16,80,148,25,3.2,5.0,5.92,9.25,1.85,G
1995,MOZ,11,52,172,27,1.9259259259259258,4.7272727272727275,6.37037037037037,15.636363636363637,3.3076923076923075,G
1995,MRT,1,3,3,1,3.0,3.0,3.0,3.0,1.0,G
1995,MWI,3,10,10,8,1.25,3.3333333333333335,1.25,3.3333333333333335,1.0,G
1995,MYS,13,27,37,8,3.375,2.076923076923077,4.625,2.8461538461538463,1.3703703703703705,G
1995,NAM,6,19,20,12,1.5833333333333333,3.1666666666666665,1.6666666666666667,3.3333333333333335,1.0526315789473684,G
1995,NGA,65,101,107,18,5.611111111111111,1.5538461538461539,5.944444444444445,1.646153846153846,1.0594059405940595,R
1995,NIC,1,1,1,1,1.0,1.0,1.0,1.0,1.0,G
1995,NLD,8,22,29,13,1.6923076923076923,2.75,2.230769230769231,3.625,1.3181818181818181,G
1995,NOR,10,18,24,8,2.25,1.8,3.0,2.4,1.3333333333333333,G
1995,NZL,6,29,34,20,1.45,4.833333333333333,1.7,5.666666666666667,1.1724137931034482,G
1995,OMN,58,100,106,30,3.3333333333333335,1.7241379310344827,3.533333333333333,1.8275862068965518,1.06,R
1995,PAK,13,29,39,9,3.2222222222222223,2.230769230769231,4.333333333333333,3.0,1.3448275862068966,G
1995,PHL,1,1,1,1,1.0,1.0,1.0,1.0,1.0,G
1995,POL,8,10,11,5,2.0,1.25,2.2,1.375,1.1,G
1995,PRT,5,18,20,12,1.5,3.6,1.6666666666666667,4.0,1.1111111111111112,G
1995,PSE,7,43,75,24,1.7916666666666667,6.142857142857143,3.125,10.714285714285714,1.744186046511628,G
1995,QAT,2,3,4,1,3.0,1.5,4.0,2.0,1.3333333333333333,G
1995,ROU,9,12,14,7,1.7142857142857142,1.3333333333333333,2.0,1.5555555555555556,1.1666666666666667,G
1995,RUS,69,127,149,29,4.379310344827586,1.8405797101449275,5.137931034482759,2.1594202898550723,1.1732283464566928,P
1995,RWA,75,198,666,41,4.829268292682927,2.64,16.24390243902439,8.88,3.3636363636363638,R
1995,SAU,2,4,5,2,2.0,2.0,2.5,2.5,1.25,G
1995,SDN,5,7,9,3,2.3333333333333335,1.4,3.0,1.8,1.2857142857142858,G
