year,speaker_country,mentioned_country,n_meetings,n_speeches,n_mentions,avg_mention_speech,avg_mention_meeting,speaker_member,mentioned_member
1995,GBR,BDI,3,3,7,2.333,2.333,P,G
1995,GBR,BIH,5,5,6,1.2,1.2,P,G
1995,GBR,BWA,2,2,3,1.5,1.5,P,R
1995,GBR,CHN,1,1,1,1.0,1.0,P,P
1995,GBR,CZE,1,1,1,1.0,1.0,P,R
1995,GBR,DEU,1,1,1,1.0,1.0,P,R
1995,GBR,FRA,6,6,7,1.167,1.167,P,P
1995,GBR,GEO,2,2,6,3.0,3.0,P,G
1995,GBR,GHA,2,2,2,1.0,1.0,P,G
1995,GBR,HRV,7,7,26,3.714,3.714,P,G
1995,GBR,HTI,2,2,9,4.5,4.5,P,G
1995,GBR,IND,1,1,1,1.0,1.0,P,G
1995,GBR,IRQ,1,1,13,13.0,13.0,P,G
1995,GBR,ISR,3,3,12,4.0,4.0,P,G
1995,GBR,JPN,1,1,1,1.0,1.0,P,G
1995,GBR,KWT,2,2,2,1.0,1.0,P,G
1995,GBR,LBR,3,3,12,4.0,4.0,P,G
1995,GBR,MKD,1,1,2,2.0,2.0,P,G
1995,GBR,MLI,1,1,1,1.0,1.0,P,G
1995,GBR,MNE,3,3,6,2.0,2.0,P,G
1995,GBR,MOZ,1,1,4,4.0,4.0,P,G
1995,GBR,NGA,1,1,1,1.0,1.0,P,R
1995,GBR,NLD,1,1,1,1.0,1.0,P,G
1995,GBR,NZL,1,1,1,1.0,1.0,P,G
1995,GBR,RUS,1,1,1,1.0,1.0,P,P
1995,GBR,RWA,5,5,34,6.8,6.8,P,R
1995,GBR,SLV,1,1,7,7.0,7.0,P,G
1995,GBR,SRB,3,3,6,2.0,2.0,P,G
1995,GBR,USA,7,7,7,1.0,1.0,P,P
1995,GBR,ZMB,1,1,1,1.0,1.0,P,G
1995,GEO,GEO,2,2,24,12.0,12.0,G,G
1995,GEO,RUS,2,2,3,1.5,1.5,G,P
1995,GEO,RWA,1,1,1,1.0,1.0,G,R
1995,GEO,USA,1,1,1,1.0,1.0,G,P
1995,GHA,GHA,1,1,4,4.0,4.0,G,G
1995,GHA,LBR,1,1,14,14.0,14.0,G,G
1995,GNB,AGO,1,1,8,8.0,8.0,G,G
1995,GNB,BWA,1,1,1,1.0,1.0,G,R
1995,GNB,GIN,1,1,4,4.0,4.0,G,G
1995,GNB,GNB,1,1,1,1.0,1.0,G,G
1995,GNB,ZMB,1,1,1,1.0,1.0,G,G
1995,GRC,ARG,1,1,2,2.0,2.0,G,R
1995,GRC,GRC,1,1,3,3.0,3.0,G,G
1995,GRC,OMN,1,1,1,1.0,1.0,G,R
1995,HND,AFG,1,1,1,1.0,1.0,R,G
1995,HND,AGO,2,2,20,10.0,10.0,R,G
1995,HND,ARG,6,8,8,1.0,1.333,R,R
1995,HND,BDI,2,2,8,4.0,4.0,R,G
1995,HND,BGR,1,1,1,1.0,1.0,R,G
1995,HND,BIH,14,18,66,3.667,4.714,R,G
1995,HND,BWA,6,6,7,1.167,1.167,R,R
1995,HND,CAN,1,2,5,2.5,5.0,R,G
1995,HND,CHN,8,9,10,1.111,1.25,R,P
1995,HND,CZE,6,8,8,1.0,1.333,R,R
1995,HND,DEU,6,9,10,1.111,1.667,R,R
1995,HND,DNK,1,1,1,1.0,1.0,R,G
1995,HND,EGY,2,2,2,1.0,1.0,R,G
1995,HND,ESH,1,1,1,1.0,1.0,R,G
1995,HND,ESP,1,1,1,1.0,1.0,R,G
1995,HND,FRA,7,10,10,1.0,1.429,R,P
1995,HND,GEO,1,1,6,6.0,6.0,R,G
1995,HND,GRC,1,1,1,1.0,1.0,R,G
1995,HND,HND,35,39,49,1.256,1.4,R,R
1995,HND,HRV,7,11,27,2.455,3.857,R,G
1995,HND,HTI,3,6,22,3.667,7.333,R,G
1995,HND,HUN,1,1,1,1.0,1.0,R,G
1995,HND,IDN,7,8,8,1.0,1.143,R,R
1995,HND,IRQ,2,2,5,2.5,2.5,R,G
1995,HND,ISR,2,2,5,2.5,2.5,R,G
1995,HND,ITA,7,9,9,1.0,1.286,R,R
1995,HND,JPN,1,1,1,1.0,1.0,R,G
1995,HND,KHM,1,1,1,1.0,1.0,R,G
1995,HND,KWT,1,1,1,1.0,1.0,R,G
1995,HND,LBN,1,1,5,5.0,5.0,R,G
1995,HND,LBR,4,4,25,6.25,6.25,R,G
1995,HND,MAR,2,2,2,1.0,1.0,R,G
1995,HND,MDA,1,1,1,1.0,1.0,R,G
1995,HND,MKD,2,2,4,2.0,2.0,R,G
1995,HND,MNE,3,3,5,1.667,1.667,R,G
1995,HND,MOZ,2,2,6,3.0,3.0,R,G
1995,HND,MYS,1,1,1,1.0,1.0,R,G
1995,HND,NGA,7,7,8,1.143,1.143,R,R
1995,HND,OMN,6,6,7,1.167,1.167,R,R
1995,HND,PSE,1,1,7,7.0,7.0,R,G
1995,HND,ROU,1,1,1,1.0,1.0,R,G
1995,HND,RUS,6,6,6,1.0,1.0,R,P
1995,HND,RWA,10,10,40,4.0,4.0,R,R
1995,HND,SLV,2,2,12,6.0,6.0,R,G
1995,HND,SOM,1,1,1,1.0,1.0,R,G
1995,HND,SRB,3,3,5,1.667,1.667,R,G
1995,HND,TJK,1,1,2,2.0,2.0,R,G
1995,HND,TZA,2,2,2,1.0,1.0,R,G
1995,HND,UGA,1,1,1,1.0,1.0,R,G
1995,HND,UKR,2,2,2,1.0,1.0,R,G
1995,HND,USA,8,12,13,1.083,1.625,R,P
1995,HRV,BIH,9,9,43,4.778,4.778,G,G
